senator,official_user_name,alt_user_name,tweets_in_last_seven_days,trumpcare_tweets,tct_percentage,russia_tweets,rt_percentage,tct_to_rt_ratio,trumpcare_tweet_urls,russia_tweet_urls
Mike Quigley,RepMikeQuigley,"",32,3,9.38,3,9.38,1.0,"[""https://twitter.com/RepMikeQuigley/status/875712182004088834"", ""https://twitter.com/RepMikeQuigley/status/874680658274242560"", ""https://twitter.com/RepMikeQuigley/status/873522184920158208""]","[""https://twitter.com/RepMikeQuigley/status/875399066947121152"", ""https://twitter.com/RepMikeQuigley/status/875362145239805954"", ""https://twitter.com/RepMikeQuigley/status/874693616823873537""]"
Lucille Roybal-Allard,RepRoybalAllard,"",25,7,28.0,0,0.0,0.0,"[""https://twitter.com/RepRoybalAllard/status/875778209870204929"", ""https://twitter.com/RepRoybalAllard/status/875455685667856385"", ""https://twitter.com/RepRoybalAllard/status/875455634027696128"", ""https://twitter.com/RepRoybalAllard/status/875455562095382528"", ""https://twitter.com/RepRoybalAllard/status/875447505483255808"", ""https://twitter.com/RepRoybalAllard/status/875447394430631936"", ""https://twitter.com/RepRoybalAllard/status/874421975900463108""]",[]
Bobby L. Rush,RepBobbyRush,"",8,0,0.0,0,0.0,0.0,[],[]
C. A. Dutch Ruppersberger,Call_Me_Dutch,"",33,0,0.0,2,6.06,0.0,[],"[""https://twitter.com/Call_Me_Dutch/status/874711566385639424"", ""https://twitter.com/Call_Me_Dutch/status/874296832809197568""]"
Tim Ryan,RepTimRyan,"",20,4,20.0,1,5.0,4.0,"[""https://twitter.com/RepTimRyan/status/874735720694521856"", ""https://twitter.com/RepTimRyan/status/874676977466306560"", ""https://twitter.com/RepTimRyan/status/874660633953935360"", ""https://twitter.com/RepTimRyan/status/873924994392260608""]","[""https://twitter.com/RepTimRyan/status/874660633953935360""]"
Cedric L. Richmond,RepRichmond,"",4,1,25.0,0,0.0,0.0,"[""https://twitter.com/RepRichmond/status/874342422553272320""]",[]
Raul Ruiz,CongressmanRuiz,"",6,2,33.33,0,0.0,0.0,"[""https://twitter.com/CongressmanRuiz/status/874727570067116032"", ""https://twitter.com/CongressmanRuiz/status/874352092193927168""]",[]
Kathleen M. Rice,RepKathleenRice,"",16,1,6.25,4,25.0,0.25,"[""https://twitter.com/RepKathleenRice/status/874260264551682049""]","[""https://twitter.com/RepKathleenRice/status/873343936986849280"", ""https://twitter.com/RepKathleenRice/status/873341045861478400"", ""https://twitter.com/RepKathleenRice/status/873340008077430784"", ""https://twitter.com/RepKathleenRice/status/873339328809897984""]"
Jamie Raskin,repraskin,"",79,9,11.39,2,2.53,4.5,"[""https://twitter.com/RepRaskin/status/875505173040443395"", ""https://twitter.com/RepRaskin/status/875502041241616385"", ""https://twitter.com/RepRaskin/status/875407407970742272"", ""https://twitter.com/RepRaskin/status/874677095342931968"", ""https://twitter.com/RepRaskin/status/874643083996127232"", ""https://twitter.com/RepRaskin/status/874639863525527552"", ""https://twitter.com/RepRaskin/status/874638007642591232"", ""https://twitter.com/RepRaskin/status/874603334208040964"", ""https://twitter.com/RepRaskin/status/874253007868788736""]","[""https://twitter.com/RepRaskin/status/874664030304169986"", ""https://twitter.com/RepRaskin/status/874426049664360449""]"
Jacky Rosen,repjackyrosen,"",32,7,21.88,0,0.0,0.0,"[""https://twitter.com/RepJackyRosen/status/876129645145579526"", ""https://twitter.com/RepJackyRosen/status/875808727525449729"", ""https://twitter.com/RepJackyRosen/status/875769932302233600"", ""https://twitter.com/RepJackyRosen/status/875449750887071744"", ""https://twitter.com/RepJackyRosen/status/875448120477237248"", ""https://twitter.com/RepJackyRosen/status/875084209408405504"", ""https://twitter.com/RepJackyRosen/status/874278104499449856""]",[]
"Robert C. ""Bobby"" Scott",BobbyScott,"",19,2,10.53,0,0.0,0.0,"[""https://twitter.com/BobbyScott/status/875430090842288130"", ""https://twitter.com/BobbyScott/status/875429867877265413""]",[]
José E. Serrano,RepJoseSerrano,"",13,0,0.0,0,0.0,0.0,[],[]
Brad Sherman,BradSherman,"",4,0,0.0,1,25.0,0.0,[],"[""https://twitter.com/BradSherman/status/874337069803417603""]"
Louise McIntosh Slaughter,LouiseSlaughter,"",12,2,16.67,0,0.0,0.0,"[""https://twitter.com/louiseslaughter/status/874644147407335427"", ""https://twitter.com/louiseslaughter/status/874371017266823168""]",[]
Adam Smith,RepAdamSmith,"",6,1,16.67,1,16.67,1.0,"[""https://twitter.com/RepAdamSmith/status/875506157561016320""]","[""https://twitter.com/RepAdamSmith/status/874706360906260482""]"
Janice D. Schakowsky,JanSchakowsky,"",13,6,46.15,1,7.69,6.0,"[""https://twitter.com/janschakowsky/status/875423756247760896"", ""https://twitter.com/janschakowsky/status/874695796503007232"", ""https://twitter.com/janschakowsky/status/874650664143597568"", ""https://twitter.com/janschakowsky/status/874301534565269505"", ""https://twitter.com/janschakowsky/status/874246026382757888"", ""https://twitter.com/janschakowsky/status/873341184923533312""]","[""https://twitter.com/janschakowsky/status/874650664143597568""]"
Adam B. Schiff,RepAdamSchiff,"",16,1,6.25,5,31.25,0.2,"[""https://twitter.com/RepAdamSchiff/status/874786200325955584""]","[""https://twitter.com/RepAdamSchiff/status/875381752084213761"", ""https://twitter.com/RepAdamSchiff/status/874740395330199552"", ""https://twitter.com/RepAdamSchiff/status/874696604460216320"", ""https://twitter.com/RepAdamSchiff/status/874406787293773824"", ""https://twitter.com/RepAdamSchiff/status/874399777240252417""]"
Linda T. Sánchez,RepLindaSanchez,"",11,0,0.0,0,0.0,0.0,[],[]
David Scott,RepDavidScott,"",10,1,10.0,0,0.0,0.0,"[""https://twitter.com/repdavidscott/status/875439218964791297""]",[]
Albio Sires,RepSires,"",14,1,7.14,0,0.0,0.0,"[""https://twitter.com/RepSires/status/875437949306888193""]",[]
John P. Sarbanes,RepSarbanes,"",2,0,0.0,0,0.0,0.0,[],[]
Carol Shea-Porter,repsheaporter,"",5,0,0.0,1,20.0,0.0,[],"[""https://twitter.com/RepSheaPorter/status/874742520907010050""]"
Jackie Speier,RepSpeier,"",52,0,0.0,5,9.62,0.0,[],"[""https://twitter.com/RepSpeier/status/875805089256157185"", ""https://twitter.com/RepSpeier/status/875690801078165504"", ""https://twitter.com/RepSpeier/status/875415500305690627"", ""https://twitter.com/RepSpeier/status/874777376391135232"", ""https://twitter.com/RepSpeier/status/874746403167371268""]"
Kurt Schrader,RepSchrader,"",3,0,0.0,0,0.0,0.0,[],[]
Terri A. Sewell,RepTerriSewell,"",16,3,18.75,0,0.0,0.0,"[""https://twitter.com/RepTerriSewell/status/875414932401135617"", ""https://twitter.com/RepTerriSewell/status/874731969594183685"", ""https://twitter.com/RepTerriSewell/status/873551425757904896""]",[]
Bradley Scott Schneider,repschneider,"",19,4,21.05,0,0.0,0.0,"[""https://twitter.com/RepSchneider/status/874621240304074752"", ""https://twitter.com/RepSchneider/status/874407159144079360"", ""https://twitter.com/RepSchneider/status/873927776193138688"", ""https://twitter.com/RepSchneider/status/873588867076689920""]",[]
