senator,official_user_name,alt_user_name,tweets_in_last_seven_days,trumpcare_tweets,tct_percentage,russia_tweets,rt_percentage,tct_to_rt_ratio,trumpcare_tweet_urls,russia_tweet_urls
Catherine Cortez Masto,SenCortezMasto,"",29,8,27.59,0,0.0,0.0,"[""https://twitter.com/SenCortezMasto/status/875480538529775616"", ""https://twitter.com/SenCortezMasto/status/875464302244671488"", ""https://twitter.com/SenCortezMasto/status/875455831130513408"", ""https://twitter.com/SenCortezMasto/status/875392312645472257"", ""https://twitter.com/SenCortezMasto/status/874737411204554753"", ""https://twitter.com/SenCortezMasto/status/874669604597051392"", ""https://twitter.com/SenCortezMasto/status/874664131168804866"", ""https://twitter.com/SenCortezMasto/status/874399163110178816""]",[]
Richard J. Durbin,SenatorDurbin,DickDurbin,61,11,18.03,7,11.48,1.5714,"[""https://twitter.com/SenatorDurbin/status/875402312579256321"", ""https://twitter.com/SenatorDurbin/status/874796660769030148"", ""https://twitter.com/SenatorDurbin/status/874687650900344834"", ""https://twitter.com/SenatorDurbin/status/873218844059422720"", ""https://twitter.com/DickDurbin/status/875524079654248448"", ""https://twitter.com/DickDurbin/status/874826482283143168"", ""https://twitter.com/DickDurbin/status/874448743273312258"", ""https://twitter.com/DickDurbin/status/874340577365590018"", ""https://twitter.com/DickDurbin/status/873313776929562626"", ""https://twitter.com/DickDurbin/status/873285581480095745"", ""https://twitter.com/DickDurbin/status/873231881877291010""]","[""https://twitter.com/SenatorDurbin/status/874744236738039811"", ""https://twitter.com/SenatorDurbin/status/874380754591133697"", ""https://twitter.com/DickDurbin/status/874826482283143168"", ""https://twitter.com/DickDurbin/status/874770111277797377"", ""https://twitter.com/DickDurbin/status/874687064482213889"", ""https://twitter.com/DickDurbin/status/873376176106086404"", ""https://twitter.com/DickDurbin/status/873014543756210176""]"
Joe Donnelly,SenDonnelly,"",26,1,3.85,1,3.85,1.0,"[""https://twitter.com/SenDonnelly/status/874299887713734656""]","[""https://twitter.com/SenDonnelly/status/875459186850770944""]"
Tammy Duckworth,SenDuckworth,TammyforIL,31,2,6.45,3,9.68,0.6667,"[""https://twitter.com/SenDuckworth/status/875440049424171008"", ""https://twitter.com/SenDuckworth/status/874750360266706948""]","[""https://twitter.com/SenDuckworth/status/875090768716812290"", ""https://twitter.com/SenDuckworth/status/874776130561159169"", ""https://twitter.com/SenDuckworth/status/872981389318205441""]"
Dianne Feinstein,SenFeinstein,"",37,6,16.22,10,27.03,0.6,"[""https://twitter.com/SenFeinstein/status/875455002579353600"", ""https://twitter.com/SenFeinstein/status/875385742566064128"", ""https://twitter.com/SenFeinstein/status/875369464346406912"", ""https://twitter.com/SenFeinstein/status/874682018457628673"", ""https://twitter.com/SenFeinstein/status/874326892064772096"", ""https://twitter.com/SenFeinstein/status/873268513334583296""]","[""https://twitter.com/SenFeinstein/status/875479719214542849"", ""https://twitter.com/SenFeinstein/status/874762788366934016"", ""https://twitter.com/SenFeinstein/status/874720941498134528"", ""https://twitter.com/SenFeinstein/status/874695931488337920"", ""https://twitter.com/SenFeinstein/status/874637636144648192"", ""https://twitter.com/SenFeinstein/status/874073456421339136"", ""https://twitter.com/SenFeinstein/status/874056394512715780"", ""https://twitter.com/SenFeinstein/status/874039820716306432"", ""https://twitter.com/SenFeinstein/status/873297329167708160"", ""https://twitter.com/SenFeinstein/status/873284812282494980""]"
Al Franken,SenFranken,alfranken,34,9,26.47,9,26.47,1.0,"[""https://twitter.com/SenFranken/status/875459779606360064"", ""https://twitter.com/SenFranken/status/875404589129977857"", ""https://twitter.com/SenFranken/status/875341071953408000"", ""https://twitter.com/SenFranken/status/874679011124932609"", ""https://twitter.com/SenFranken/status/874637069171273729"", ""https://twitter.com/SenFranken/status/874377258286317568"", ""https://twitter.com/SenFranken/status/874042482706849792"", ""https://twitter.com/SenFranken/status/873234267928748033"", ""https://twitter.com/SenFranken/status/873229252577169408""]","[""https://twitter.com/SenFranken/status/874774415250272256"", ""https://twitter.com/SenFranken/status/874750353392246784"", ""https://twitter.com/SenFranken/status/874698628509650944"", ""https://twitter.com/SenFranken/status/874419316275511296"", ""https://twitter.com/SenFranken/status/874396818557325316"", ""https://twitter.com/SenFranken/status/873978322492981248"", ""https://twitter.com/SenFranken/status/873978178502615042"", ""https://twitter.com/SenFranken/status/873978166016081922"", ""https://twitter.com/SenFranken/status/873247810921123841""]"
Kirsten E. Gillibrand,SenGillibrand,"",20,4,20.0,2,10.0,2.0,"[""https://twitter.com/SenGillibrand/status/875426925895974912"", ""https://twitter.com/SenGillibrand/status/875380526781263873"", ""https://twitter.com/SenGillibrand/status/874753904705249281"", ""https://twitter.com/SenGillibrand/status/872972665556000769""]","[""https://twitter.com/SenGillibrand/status/875380526781263873"", ""https://twitter.com/SenGillibrand/status/874753904705249281""]"
Mazie K. Hirono,maziehirono,"",14,1,7.14,3,21.43,0.3333,"[""https://twitter.com/maziehirono/status/875007416882143232""]","[""https://twitter.com/maziehirono/status/875002968713678850"", ""https://twitter.com/maziehirono/status/873955887815241729"", ""https://twitter.com/maziehirono/status/873176684341719041""]"
Martin Heinrich,MartinHeinrich,"",51,8,15.69,10,19.61,0.8,"[""https://twitter.com/MartinHeinrich/status/875450704797720576"", ""https://twitter.com/MartinHeinrich/status/875363953928523777"", ""https://twitter.com/MartinHeinrich/status/874688452364824577"", ""https://twitter.com/MartinHeinrich/status/874685673260941312"", ""https://twitter.com/MartinHeinrich/status/874685225783242753"", ""https://twitter.com/MartinHeinrich/status/874675378094301184"", ""https://twitter.com/MartinHeinrich/status/874644704587075584"", ""https://twitter.com/MartinHeinrich/status/874299445759930368""]","[""https://twitter.com/MartinHeinrich/status/875401884709859328"", ""https://twitter.com/MartinHeinrich/status/874762041122279428"", ""https://twitter.com/MartinHeinrich/status/874762008356413443"", ""https://twitter.com/MartinHeinrich/status/874747804522086400"", ""https://twitter.com/MartinHeinrich/status/874699037747838977"", ""https://twitter.com/MartinHeinrich/status/874697452762411009"", ""https://twitter.com/MartinHeinrich/status/874669966053789696"", ""https://twitter.com/MartinHeinrich/status/874278437795631105"", ""https://twitter.com/MartinHeinrich/status/873290774246547456"", ""https://twitter.com/MartinHeinrich/status/873271744987095040""]"
Heidi Heitkamp,SenatorHeitkamp,"",33,5,15.15,1,3.03,5.0,"[""https://twitter.com/SenatorHeitkamp/status/875422657654644737"", ""https://twitter.com/SenatorHeitkamp/status/875352670126706688"", ""https://twitter.com/SenatorHeitkamp/status/874746193846435844"", ""https://twitter.com/SenatorHeitkamp/status/874680843767361539"", ""https://twitter.com/SenatorHeitkamp/status/874007352097165313""]","[""https://twitter.com/SenatorHeitkamp/status/875426887631339520""]"
Kamala D. Harris,SenKamalaHarris,KamalaHarris,82,11,13.41,14,17.07,0.7857,"[""https://twitter.com/SenKamalaHarris/status/874798798639419392"", ""https://twitter.com/SenKamalaHarris/status/874644366064746496"", ""https://twitter.com/SenKamalaHarris/status/874334532387958784"", ""https://twitter.com/SenKamalaHarris/status/873275754997440512"", ""https://twitter.com/KamalaHarris/status/875457945487773700"", ""https://twitter.com/KamalaHarris/status/874799053783146497"", ""https://twitter.com/KamalaHarris/status/874642542867906561"", ""https://twitter.com/KamalaHarris/status/874311226481942529"", ""https://twitter.com/KamalaHarris/status/873313795673907200"", ""https://twitter.com/KamalaHarris/status/873265446987935745"", ""https://twitter.com/KamalaHarris/status/873031910410170368""]","[""https://twitter.com/SenKamalaHarris/status/874778688906174465"", ""https://twitter.com/SenKamalaHarris/status/874737698233344001"", ""https://twitter.com/SenKamalaHarris/status/874695316121030664"", ""https://twitter.com/SenKamalaHarris/status/874688871837073408"", ""https://twitter.com/SenKamalaHarris/status/873193994041176064"", ""https://twitter.com/KamalaHarris/status/874824218571145216"", ""https://twitter.com/KamalaHarris/status/874799053783146497"", ""https://twitter.com/KamalaHarris/status/874732172988567553"", ""https://twitter.com/KamalaHarris/status/874729583823777793"", ""https://twitter.com/KamalaHarris/status/874727250645716992"", ""https://twitter.com/KamalaHarris/status/874039045407617024"", ""https://twitter.com/KamalaHarris/status/873212996432089088"", ""https://twitter.com/KamalaHarris/status/873004480333328384"", ""https://twitter.com/KamalaHarris/status/872986608802435072""]"
Margaret Wood Hassan,SenatorHassan,Maggie_Hassan,31,10,32.26,1,3.23,10.0,"[""https://twitter.com/SenatorHassan/status/875468810517610496"", ""https://twitter.com/SenatorHassan/status/875433525683597312"", ""https://twitter.com/SenatorHassan/status/875369764474023938"", ""https://twitter.com/SenatorHassan/status/874748538198118400"", ""https://twitter.com/SenatorHassan/status/874723059302891520"", ""https://twitter.com/SenatorHassan/status/874717100992073728"", ""https://twitter.com/SenatorHassan/status/874685366455980032"", ""https://twitter.com/SenatorHassan/status/874650334924337152"", ""https://twitter.com/SenatorHassan/status/874366849101811713"", ""https://twitter.com/SenatorHassan/status/874352458604130304""]","[""https://twitter.com/SenatorHassan/status/875419078298669062""]"
Tim Kaine,SenKaineOffice,timkaine,37,3,8.11,1,2.7,3.0,"[""https://twitter.com/timkaine/status/875103317613039616"", ""https://twitter.com/timkaine/status/874705541116960770"", ""https://twitter.com/timkaine/status/874630232988422144""]","[""https://twitter.com/timkaine/status/875448728743800832""]"
Patrick J. Leahy,SenatorLeahy,"",77,6,7.79,16,20.78,0.375,"[""https://twitter.com/SenatorLeahy/status/875364012262907904"", ""https://twitter.com/SenatorLeahy/status/875359376370008064"", ""https://twitter.com/SenatorLeahy/status/875293745176080385"", ""https://twitter.com/SenatorLeahy/status/875156189331501057"", ""https://twitter.com/SenatorLeahy/status/874735654630027267"", ""https://twitter.com/SenatorLeahy/status/874668383924609024""]","[""https://twitter.com/SenatorLeahy/status/875068830653054976"", ""https://twitter.com/SenatorLeahy/status/874675932577050624"", ""https://twitter.com/SenatorLeahy/status/874672783447511040"", ""https://twitter.com/SenatorLeahy/status/874642690260037632"", ""https://twitter.com/SenatorLeahy/status/874636574318833666"", ""https://twitter.com/SenatorLeahy/status/874632078784180225"", ""https://twitter.com/SenatorLeahy/status/874628105264136193"", ""https://twitter.com/SenatorLeahy/status/874411322775150592"", ""https://twitter.com/SenatorLeahy/status/874391502570573824"", ""https://twitter.com/SenatorLeahy/status/874371937845338112"", ""https://twitter.com/SenatorLeahy/status/874370154267910146"", ""https://twitter.com/SenatorLeahy/status/873864443268149248"", ""https://twitter.com/SenatorLeahy/status/873710044491206656"", ""https://twitter.com/SenatorLeahy/status/873694707410456577"", ""https://twitter.com/SenatorLeahy/status/873689818470993920"", ""https://twitter.com/SenatorLeahy/status/873544151140323329""]"
