senator,official_user_name,alt_user_name,tweets_in_last_seven_days,trumpcare_tweets,tct_percentage,russia_tweets,rt_percentage,tct_to_rt_ratio,trumpcare_tweet_urls,russia_tweet_urls
Louie Gohmert,RepLouieGohmert,"",26,1,3.85,5,19.23,0.2,"[""https://twitter.com/replouiegohmert/status/874594959055257600""]","[""https://twitter.com/replouiegohmert/status/874630297794555904"", ""https://twitter.com/replouiegohmert/status/874581363776786432"", ""https://twitter.com/replouiegohmert/status/874562578382544896"", ""https://twitter.com/replouiegohmert/status/874292924565139458"", ""https://twitter.com/replouiegohmert/status/873869850690584577""]"
Brett Guthrie,RepGuthrie,"",3,0,0.0,0,0.0,0.0,[],[]
Tom Graves,RepTomGraves,"",7,3,42.86,0,0.0,0.0,"[""https://twitter.com/RepTomGraves/status/875422089200771072"", ""https://twitter.com/RepTomGraves/status/875421425003360256"", ""https://twitter.com/RepTomGraves/status/874729573082165248""]",[]
Bob Gibbs,RepBobGibbs,"",1,0,0.0,0,0.0,0.0,[],[]
Paul A. Gosar,RepGosar,"",11,1,9.09,1,9.09,1.0,"[""https://twitter.com/RepGosar/status/875369687080742912""]","[""https://twitter.com/RepGosar/status/874295428065488901""]"
Trey Gowdy,TGowdySC,"",1,0,0.0,0,0.0,0.0,[],[]
H. Morgan Griffith,RepMGriffith,"",3,0,0.0,0,0.0,0.0,[],[]
Glenn Grothman,RepGrothman,"",19,2,10.53,0,0.0,0.0,"[""https://twitter.com/RepGrothman/status/875067894668939264"", ""https://twitter.com/RepGrothman/status/874598892347822080""]",[]
Garret Graves,RepGarretGraves,"",9,2,22.22,0,0.0,0.0,"[""https://twitter.com/RepGarretGraves/status/874945156197253120"", ""https://twitter.com/RepGarretGraves/status/874234631004049409""]",[]
Matt Gaetz,RepMattGaetz,"",29,2,6.9,0,0.0,0.0,"[""https://twitter.com/RepMattGaetz/status/876117671842115584"", ""https://twitter.com/RepMattGaetz/status/876081717303554048""]",[]
Mike Gallagher,RepGallagher,"",15,0,0.0,0,0.0,0.0,[],[]
"Thomas A. Garrett, Jr.",Rep_Tom_Garrett,"",10,0,0.0,0,0.0,0.0,[],[]
Jenniffer González-Colón,repjenniffer,"",26,0,0.0,0,0.0,0.0,[],[]
Jeb Hensarling,RepHensarling,"",4,1,25.0,0,0.0,0.0,"[""https://twitter.com/RepHensarling/status/875354345532948481""]",[]
Gregg Harper,GreggHarper,"",10,0,0.0,0,0.0,0.0,[],[]
Duncan Hunter,Rep_Hunter,"",0,0,0.0,0,0.0,0.0,[],[]
Andy Harris,RepAndyHarrisMD,"",9,2,22.22,0,0.0,0.0,"[""https://twitter.com/RepAndyHarrisMD/status/874737819197083648"", ""https://twitter.com/RepAndyHarrisMD/status/874687793603248130""]",[]
Vicky Hartzler,RepHartzler,"",16,1,6.25,0,0.0,0.0,"[""https://twitter.com/RepHartzler/status/874744212251705344""]",[]
Jaime Herrera Beutler,HerreraBeutler,"",8,4,50.0,0,0.0,0.0,"[""https://twitter.com/HerreraBeutler/status/875464480431288320"", ""https://twitter.com/HerreraBeutler/status/875432636075913216"", ""https://twitter.com/HerreraBeutler/status/874773857374228480"", ""https://twitter.com/HerreraBeutler/status/874712963646717952""]",[]
Bill Huizenga,RepHuizenga,"",4,1,25.0,0,0.0,0.0,"[""https://twitter.com/RepHuizenga/status/875379981114892288""]",[]
Randy Hultgren,RepHultgren,"",9,0,0.0,0,0.0,0.0,[],[]
George Holding,RepHolding,"",1,0,0.0,0,0.0,0.0,[],[]
Richard Hudson,RepRichHudson,"",46,6,13.04,0,0.0,0.0,"[""https://twitter.com/RepRichHudson/status/875807596489441280"", ""https://twitter.com/RepRichHudson/status/875559181943746560"", ""https://twitter.com/RepRichHudson/status/875379097802858500"", ""https://twitter.com/RepRichHudson/status/874738654257795073"", ""https://twitter.com/RepRichHudson/status/874387979292299264"", ""https://twitter.com/RepRichHudson/status/874251318780735492""]",[]
Jody B. Hice,congressmanhice,"",22,3,13.64,0,0.0,0.0,"[""https://twitter.com/CongressmanHice/status/875369506243321856"", ""https://twitter.com/CongressmanHice/status/874734086157467649"", ""https://twitter.com/CongressmanHice/status/874728390049312768""]",[]
J. French Hill,RepFrenchHill,"",9,1,11.11,0,0.0,0.0,"[""https://twitter.com/RepFrenchHill/status/875819923121074176""]",[]
Will Hurd,hurdonthehill,"",21,1,4.76,0,0.0,0.0,"[""https://twitter.com/HurdOnTheHill/status/874302783163310080""]",[]
Trey Hollingsworth,reptrey,"",2,0,0.0,0,0.0,0.0,[],[]
Clay Higgins,RepClayHiggins,"",7,0,0.0,0,0.0,0.0,[],[]
